Wavelength data table
Sample name	250.0nm	300.0nm	350.0nm	400.0nm	450.0nm	500.0nm	550.0nm	600.0nm	650.0nm	700.0nm	750.0nm	800.0nm	
'100% Anthracene(EM)			158.9	 1148	113.3	4.912	1.287					

Sample:	'100% Anthracene(EM)
File name:	100% Anthracene.FDS
Run date:	'11:26:24, 03/22/2021
Operator:	Admin
Comment:	'100% Anthracene

Instrument
Model:	F-2700 FL Spectrophotometer
Serial number:	2746-002
ROM Version:	4J14000 06

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	283.0 nm
EM  Start WL:	350.0 nm
EM  End WL:	550.0 nm
Scan speed:	300 nm/min
Delay:	0.0 s
EX Slit:	2.5 nm
EM Slit:	2.5 nm
PMT Voltage:	700 V
Response:	0.08 s
Corrected spectra:	Off

Data points
nm	Data
350.0	158.9
350.5	147.5
351.0	140.0
351.5	128.6
352.0	119.9
352.5	109.8
353.0	103.9
353.5	94.75
354.0	86.80
354.5	79.03
355.0	72.52
355.5	65.89
356.0	61.78
356.5	57.93
357.0	55.88
357.5	56.51
358.0	58.62
358.5	60.56
359.0	64.31
359.5	66.82
360.0	70.54
360.5	74.33
361.0	77.42
361.5	80.24
362.0	81.98
362.5	83.84
363.0	85.70
363.5	87.89
364.0	88.50
364.5	88.66
365.0	89.44
365.5	88.41
366.0	89.20
366.5	89.30
367.0	89.61
367.5	89.92
368.0	89.92
368.5	95.01
369.0	97.63
369.5	102.1
370.0	108.4
370.5	117.0
371.0	128.9
371.5	144.2
372.0	166.0
372.5	190.4
373.0	222.8
373.5	262.6
374.0	303.2
374.5	354.3
375.0	415.0
375.5	479.2
376.0	542.1
376.5	619.4
377.0	685.5
377.5	745.4
378.0	785.2
378.5	813.1
379.0	818.2
379.5	811.9
380.0	803.1
380.5	784.4
381.0	769.1
381.5	752.0
382.0	737.6
382.5	708.2
383.0	672.0
383.5	632.9
384.0	588.7
384.5	538.7
385.0	495.5
385.5	455.4
386.0	420.5
386.5	394.3
387.0	374.7
387.5	357.7
388.0	347.1
388.5	336.6
389.0	334.1
389.5	337.3
390.0	343.9
390.5	361.8
391.0	384.4
391.5	423.0
392.0	463.4
392.5	521.6
393.0	580.4
393.5	658.1
394.0	741.8
394.5	822.7
395.0	909.1
395.5	995.6
396.0	 1065
396.5	 1136
397.0	 1189
397.5	 1227
398.0	 1245
398.5	 1243
399.0	 1231
399.5	 1194
400.0	 1148
400.5	 1095
401.0	 1039
401.5	974.3
402.0	910.2
402.5	840.6
403.0	786.4
403.5	728.6
404.0	681.3
404.5	633.4
405.0	590.9
405.5	553.0
406.0	516.1
406.5	476.2
407.0	446.1
407.5	414.0
408.0	386.6
408.5	357.2
409.0	335.3
409.5	315.2
410.0	299.1
410.5	285.7
411.0	279.4
411.5	272.1
412.0	269.1
412.5	270.4
413.0	272.6
413.5	279.7
414.0	290.5
414.5	301.6
415.0	317.5
415.5	332.6
416.0	348.9
416.5	368.6
417.0	386.9
417.5	408.4
418.0	428.4
418.5	446.2
419.0	460.5
419.5	478.3
420.0	489.7
420.5	493.0
421.0	497.7
421.5	500.2
422.0	493.8
422.5	489.0
423.0	477.5
423.5	460.2
424.0	446.7
424.5	428.5
425.0	405.0
425.5	383.8
426.0	365.9
426.5	342.5
427.0	325.4
427.5	302.2
428.0	283.4
428.5	264.5
429.0	246.4
429.5	231.5
430.0	215.5
430.5	204.3
431.0	191.6
431.5	176.1
432.0	168.5
432.5	157.3
433.0	148.1
433.5	139.6
434.0	132.7
434.5	126.8
435.0	121.7
435.5	117.1
436.0	111.4
436.5	108.5
437.0	107.6
437.5	105.5
438.0	105.6
438.5	107.1
439.0	104.7
439.5	107.4
440.0	107.1
440.5	109.8
441.0	112.5
441.5	113.5
442.0	115.3
442.5	117.9
443.0	119.4
443.5	123.1
444.0	126.2
444.5	126.8
445.0	128.1
445.5	128.6
446.0	130.2
446.5	129.9
447.0	130.6
447.5	129.1
448.0	126.5
448.5	123.5
449.0	122.2
449.5	118.3
450.0	113.3
450.5	111.9
451.0	107.5
451.5	102.3
452.0	97.38
452.5	93.60
453.0	89.73
453.5	84.16
454.0	78.75
454.5	74.56
455.0	71.75
455.5	66.55
456.0	62.43
456.5	59.35
457.0	55.80
457.5	52.58
458.0	49.67
458.5	45.67
459.0	44.34
459.5	42.57
460.0	39.42
460.5	37.24
461.0	35.57
461.5	34.08
462.0	33.07
462.5	31.68
463.0	30.34
463.5	29.41
464.0	28.45
464.5	28.02
465.0	26.65
465.5	26.34
466.0	25.72
466.5	25.34
467.0	24.38
467.5	24.23
468.0	24.29
468.5	24.17
469.0	24.56
469.5	24.04
470.0	23.78
470.5	23.84
471.0	23.58
471.5	23.65
472.0	24.08
472.5	23.69
473.0	24.12
473.5	24.05
474.0	23.49
474.5	23.86
475.0	23.45
475.5	22.60
476.0	22.54
476.5	22.44
477.0	21.90
477.5	21.64
478.0	20.89
478.5	20.80
479.0	20.05
479.5	19.69
480.0	18.80
480.5	18.63
481.0	18.10
481.5	17.02
482.0	16.59
482.5	15.44
483.0	15.30
483.5	14.12
484.0	14.20
484.5	12.70
485.0	12.67
485.5	12.13
486.0	11.69
486.5	10.85
487.0	10.20
487.5	10.14
488.0	9.379
488.5	9.222
489.0	8.638
489.5	8.478
490.0	8.161
490.5	7.780
491.0	7.592
491.5	7.085
492.0	7.004
492.5	6.477
493.0	6.433
493.5	6.090
494.0	5.834
494.5	5.324
495.0	5.269
495.5	5.385
496.0	5.076
496.5	5.425
497.0	5.178
497.5	5.034
498.0	4.817
498.5	4.583
499.0	4.749
499.5	4.795
500.0	4.912
500.5	4.861
501.0	4.379
501.5	4.332
502.0	4.342
502.5	4.020
503.0	4.427
503.5	4.391
504.0	4.232
504.5	4.047
505.0	4.082
505.5	4.397
506.0	3.789
506.5	3.997
507.0	3.866
507.5	3.622
508.0	3.340
508.5	3.746
509.0	3.682
509.5	3.541
510.0	3.631
510.5	3.255
511.0	3.192
511.5	3.225
512.0	3.423
512.5	3.275
513.0	3.236
513.5	2.863
514.0	2.834
514.5	3.007
515.0	3.114
515.5	2.929
516.0	2.568
516.5	2.697
517.0	2.526
517.5	2.508
518.0	2.750
518.5	2.368
519.0	2.063
519.5	2.137
520.0	2.151
520.5	1.997
521.0	2.082
521.5	2.036
522.0	1.931
522.5	1.880
523.0	1.997
523.5	1.769
524.0	1.668
524.5	1.637
525.0	1.762
525.5	1.592
526.0	1.830
526.5	1.810
527.0	1.558
527.5	1.539
528.0	1.533
528.5	1.431
529.0	1.774
529.5	1.552
530.0	1.546
530.5	1.493
531.0	1.569
531.5	1.403
532.0	1.584
532.5	1.571
533.0	1.516
533.5	1.455
534.0	1.290
534.5	1.456
535.0	1.350
535.5	1.317
536.0	1.203
536.5	1.371
537.0	1.240
537.5	1.259
538.0	1.049
538.5	1.205
539.0	1.268
539.5	1.320
540.0	1.297
540.5	1.258
541.0	1.174
541.5	1.217
542.0	1.381
542.5	1.243
543.0	1.043
543.5	1.097
544.0	1.166
544.5	1.180
545.0	1.418
545.5	1.421
546.0	1.260
546.5	1.385
547.0	1.238
547.5	1.127
548.0	1.332
548.5	1.170
549.0	1.176
549.5	1.316
550.0	1.287

