Wavelength data table
Sample name	250.0nm	300.0nm	350.0nm	400.0nm	450.0nm	500.0nm	550.0nm	600.0nm	650.0nm	700.0nm	750.0nm	800.0nm	
'55% Anthracene(EM)			22.89	84.63	9.900	1.206	0.739					

Sample:	'55% Anthracene(EM)
File name:	55% Anthracene.FDS
Run date:	'11:45:58, 03/22/2021
Operator:	Admin
Comment:	'55% Anthracene

Instrument
Model:	F-2700 FL Spectrophotometer
Serial number:	2746-002
ROM Version:	4J14000 06

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	283.0 nm
EM  Start WL:	350.0 nm
EM  End WL:	550.0 nm
Scan speed:	300 nm/min
Delay:	0.0 s
EX Slit:	2.5 nm
EM Slit:	2.5 nm
PMT Voltage:	700 V
Response:	0.08 s
Corrected spectra:	Off

Data points
nm	Data
350.0	22.89
350.5	21.95
351.0	21.29
351.5	19.09
352.0	18.21
352.5	17.56
353.0	16.19
353.5	15.40
354.0	14.59
354.5	13.82
355.0	12.69
355.5	12.22
356.0	11.60
356.5	10.82
357.0	10.75
357.5	10.86
358.0	11.95
358.5	12.64
359.0	12.95
359.5	12.77
360.0	14.54
360.5	15.05
361.0	15.20
361.5	15.76
362.0	16.12
362.5	16.72
363.0	17.06
363.5	17.16
364.0	16.89
364.5	17.16
365.0	17.11
365.5	16.93
366.0	16.21
366.5	15.95
367.0	15.46
367.5	15.61
368.0	15.32
368.5	14.35
369.0	14.13
369.5	14.80
370.0	14.43
370.5	15.55
371.0	16.03
371.5	16.91
372.0	17.67
372.5	19.21
373.0	21.70
373.5	24.04
374.0	26.71
374.5	29.91
375.0	33.49
375.5	38.25
376.0	42.66
376.5	49.74
377.0	53.19
377.5	58.18
378.0	61.35
378.5	63.37
379.0	65.26
379.5	64.10
380.0	63.39
380.5	62.09
381.0	61.63
381.5	61.53
382.0	59.46
382.5	57.84
383.0	54.57
383.5	52.46
384.0	48.33
384.5	44.97
385.0	42.25
385.5	39.23
386.0	36.16
386.5	34.51
387.0	32.67
387.5	31.06
388.0	30.60
388.5	29.93
389.0	29.58
389.5	29.80
390.0	30.31
390.5	31.70
391.0	32.55
391.5	35.58
392.0	38.37
392.5	42.69
393.0	47.26
393.5	51.87
394.0	57.46
394.5	63.72
395.0	69.23
395.5	75.51
396.0	80.27
396.5	86.30
397.0	88.84
397.5	91.10
398.0	95.22
398.5	93.13
399.0	91.59
399.5	90.09
400.0	84.63
400.5	81.74
401.0	78.32
401.5	73.06
402.0	68.05
402.5	63.58
403.0	59.11
403.5	55.21
404.0	51.35
404.5	48.31
405.0	45.98
405.5	42.37
406.0	39.77
406.5	37.24
407.0	34.47
407.5	32.67
408.0	31.20
408.5	28.51
409.0	26.65
409.5	24.57
410.0	24.08
410.5	23.10
411.0	22.24
411.5	21.96
412.0	21.91
412.5	22.07
413.0	22.22
413.5	22.78
414.0	23.41
414.5	24.65
415.0	25.38
415.5	26.61
416.0	27.15
416.5	29.08
417.0	30.11
417.5	31.75
418.0	32.90
418.5	34.96
419.0	35.02
419.5	36.90
420.0	36.48
420.5	37.12
421.0	38.67
421.5	38.30
422.0	37.65
422.5	37.30
423.0	36.90
423.5	35.72
424.0	33.80
424.5	32.93
425.0	31.71
425.5	29.71
426.0	27.85
426.5	26.44
427.0	25.24
427.5	23.22
428.0	22.36
428.5	20.85
429.0	20.13
429.5	18.26
430.0	17.20
430.5	16.49
431.0	15.55
431.5	14.62
432.0	14.11
432.5	12.57
433.0	12.65
433.5	12.01
434.0	11.17
434.5	10.73
435.0	10.38
435.5	10.39
436.0	9.329
436.5	9.475
437.0	9.824
437.5	9.205
438.0	9.524
438.5	9.178
439.0	9.041
439.5	9.127
440.0	9.208
440.5	9.765
441.0	9.867
441.5	9.487
442.0	10.19
442.5	10.05
443.0	10.17
443.5	10.11
444.0	10.50
444.5	10.87
445.0	11.06
445.5	11.05
446.0	10.60
446.5	10.75
